City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,San Jose,US,2022-10-21 19:12:27,37.3394,-121.895,77.54,52,20,9.22
129,Amnat Charoen,TH,2022-10-21 19:16:07,15.9167,104.75,71.29,84,10,14.23
130,Nyurba,RU,2022-10-21 19:16:08,63.2842,118.3319,17.04,97,94,4.74
131,Juneau,US,2022-10-21 19:16:08,58.3019,-134.4197,46.22,97,75,8.05
132,Miles City,US,2022-10-21 19:13:09,46.4083,-105.8406,67.17,32,40,4.61
133,Aksu,CN,2022-10-21 19:16:09,41.1231,80.2644,52.59,35,0,3.49
134,Hasaki,JP,2022-10-21 19:16:10,35.7333,140.8333,59.4,68,100,16.51
135,Samarai,PG,2022-10-21 19:16:10,-10.6167,150.6667,80.87,79,12,5.17
136,Kirakira,SB,2022-10-21 19:16:10,-10.4544,161.9205,79.72,83,95,2.35
137,Ancud,CL,2022-10-21 19:17:11,-41.8697,-73.8203,51.82,59,1,8.34
138,Nova Olimpia,BR,2022-10-21 19:17:11,-14.7972,-57.2881,75.87,93,100,5.48
139,Arlit,NE,2022-10-21 19:17:12,18.7369,7.3853,83.17,14,8,19.06
140,Saint-Philippe,RE,2022-10-21 19:17:12,-21.3585,55.7679,71.19,85,44,10.92
141,Saint George,US,2022-10-21 19:17:13,37.1041,-113.5841,74.43,24,0,1.99
142,Vestmannaeyjar,IS,2022-10-21 19:17:13,63.4427,-20.2734,43.11,59,100,7.18
143,Jacqueville,CI,2022-10-21 19:17:14,5.2052,-4.4146,78.96,83,10,10.18
144,Nicoya,CR,2022-10-21 19:17:14,10.1483,-85.452,82.36,79,93,2.91
145,Caravelas,BR,2022-10-21 19:17:14,-17.7125,-39.2481,79.3,66,97,10.11
146,Sarkand,KZ,2022-10-21 19:17:15,45.41,79.9186,55.51,24,99,6.26
147,Slave Lake,CA,2022-10-21 19:17:15,55.2834,-114.769,44.58,61,100,17.27
148,Fort-Shevchenko,KZ,2022-10-21 19:17:16,44.5086,50.263,56.52,59,56,28.5
149,Vao,NC,2022-10-21 19:17:16,-22.6667,167.4833,71.58,63,100,20.83
150,Pevek,RU,2022-10-21 19:17:17,69.7008,170.3133,24.46,96,100,0.54
151,Port Macquarie,AU,2022-10-21 19:17:17,-31.4333,152.9167,64.89,88,100,15.46
152,Mar Del Plata,AR,2022-10-21 19:17:17,-38.0023,-57.5575,59.09,85,100,20.71
153,Bandarbeyla,SO,2022-10-21 19:17:18,9.4942,50.8122,78.1,87,34,10.58
154,Viedma,AR,2022-10-21 19:15:59,-40.8135,-62.9967,56.01,34,57,14.63
155,Huilong,CN,2022-10-21 19:17:18,31.8111,121.655,65.93,87,27,2.42
156,Wasilla,US,2022-10-21 19:17:19,61.5814,-149.4394,35.37,96,100,5.75
157,North Bend,US,2022-10-21 19:15:28,43.4065,-124.2243,59.16,97,100,4.61
158,Touros,BR,2022-10-21 19:17:20,-5.1989,-35.4608,81.68,62,10,17.34
159,Eureka,US,2022-10-21 19:15:44,40.8021,-124.1637,71.67,81,39,4.0
160,Geraldton,AU,2022-10-21 19:17:20,-28.7667,114.6,60.75,79,12,6.4
161,Amboasary,MG,2022-10-21 19:17:21,-25.0333,46.3833,71.87,75,0,5.91
162,Cascais,PT,2022-10-21 19:17:21,38.6979,-9.4215,68.5,92,100,21.0
163,Dawlatabad,AF,2022-10-21 19:17:22,36.4141,64.9053,67.77,15,100,2.68
164,Nago,JP,2022-10-21 19:17:22,26.5881,127.9761,77.45,90,100,13.22
165,Katherine,AU,2022-10-21 19:17:22,-14.4667,132.2667,81.86,23,83,4.16
166,Vostok,RU,2022-10-21 19:17:24,46.4856,135.8833,40.93,96,98,2.26
167,Nome,US,2022-10-21 19:17:24,64.5011,-165.4064,37.47,82,75,5.75
168,Tuensang,IN,2022-10-21 19:17:25,26.2833,94.8333,63.01,79,0,3.38
169,Maniitsoq,GL,2022-10-21 19:17:25,65.4167,-52.9,37.44,96,100,31.05
170,Limbe,CM,2022-10-21 19:17:26,4.0242,9.2149,77.72,84,89,3.27
171,Truro,GB,2022-10-21 19:17:26,50.2653,-5.0544,60.08,94,100,13.8
172,Langenburg,DE,2022-10-21 19:17:26,49.2544,9.8458,58.93,88,0,4.61
173,Te Anau,NZ,2022-10-21 19:17:27,-45.4167,167.7167,38.23,89,39,0.69
174,Severo-Kurilsk,RU,2022-10-21 19:17:27,50.6789,156.125,37.99,86,87,6.55
175,Butaritari,KI,2022-10-21 19:17:28,3.0707,172.7902,80.82,76,5,13.38
176,Arys,KZ,2022-10-21 19:17:28,42.4252,68.795,57.61,29,27,4.61
177,Portland,US,2022-10-21 19:16:44,45.5234,-122.6762,55.09,85,100,1.01
178,Gweta,BW,2022-10-21 19:17:29,-20.1833,25.2333,81.25,23,29,7.02
179,Soyo,AO,2022-10-21 19:17:29,-6.1349,12.3689,76.95,86,100,9.26
180,Launceston,AU,2022-10-21 19:17:30,-41.45,147.1667,62.24,100,100,5.75
181,Stromness,GB,2022-10-21 19:17:30,58.965,-3.296,53.56,93,100,15.99
182,Chateaubelair,VC,2022-10-21 19:17:30,13.2833,-61.25,81.12,83,75,8.05
183,Muisne,EC,2022-10-21 19:17:31,0.6,-80.0333,76.03,79,100,10.85
184,Buala,SB,2022-10-21 19:17:31,-8.145,159.5921,80.04,85,82,7.58
185,Chuy,UY,2022-10-21 19:17:32,-33.6971,-53.4616,64.87,78,91,10.85
186,Narsaq,GL,2022-10-21 19:17:32,60.9167,-46.05,35.82,99,100,10.56
187,Dikson,RU,2022-10-21 19:18:33,73.5069,80.5464,32.09,96,100,11.65
188,Sambava,MG,2022-10-21 19:14:32,-14.2667,50.1667,71.83,78,10,11.99
189,Palencia,ES,2022-10-21 19:18:34,42.4167,-4.5,56.91,73,100,14.54
190,Davila,PH,2022-10-21 19:18:34,18.4726,120.5763,78.19,87,100,2.35
191,Porto Novo,BJ,2022-10-21 19:18:35,6.4965,2.6036,78.87,80,100,5.59
192,Ishigaki,JP,2022-10-21 19:18:35,24.3448,124.1572,78.93,100,75,4.61
193,Badiraguato,MX,2022-10-21 19:18:36,25.3667,-107.5167,90.7,43,6,3.87
194,Cape Town,ZA,2022-10-21 19:13:38,-33.9258,18.4232,62.35,76,26,17.0
195,Barrow,US,2022-10-21 19:18:36,71.2906,-156.7887,26.62,86,100,28.77
196,Padang,ID,2022-10-21 19:16:00,-0.9492,100.3543,76.77,88,100,4.54
197,Paredon,MX,2022-10-21 19:18:37,16.0333,-93.8667,86.77,59,62,8.08
198,Bathsheba,BB,2022-10-21 19:18:38,13.2167,-59.5167,88.41,66,40,13.8
199,Baghdad,IQ,2022-10-21 19:18:38,33.3406,44.4009,80.51,34,40,12.66
200,Fare,PF,2022-10-21 19:18:39,-16.7,-151.0167,79.23,76,0,17.13
201,Kalakamati,BW,2022-10-21 19:18:39,-20.5929,27.3121,75.02,26,24,12.24
202,Ribeira Grande,PT,2022-10-21 19:18:39,38.5167,-28.7,65.77,82,75,24.16
203,Keti Bandar,PK,2022-10-21 19:18:40,24.1447,67.4497,81.84,57,0,8.03
204,Mazyr,BY,2022-10-21 19:18:40,52.0495,29.2456,40.46,78,100,5.91
205,Port Alfred,ZA,2022-10-21 19:18:41,-33.5906,26.891,66.18,95,100,1.01
206,Gandajika,CD,2022-10-21 19:18:41,-6.75,23.95,67.69,92,100,1.83
207,Afrikanda,RU,2022-10-21 19:18:42,67.4429,32.7828,31.69,75,90,5.17
208,Saldanha,ZA,2022-10-21 19:18:42,-33.0117,17.9442,61.47,75,5,27.74
209,Mutis,CO,2022-10-21 19:18:43,6.2262,-77.4044,78.39,88,100,7.99
210,Mae Hong Son,TH,2022-10-21 19:18:43,19.3003,97.9685,68.59,94,5,2.44
211,Bairiki,KI,2022-10-21 19:18:44,1.3292,172.9752,80.6,78,20,6.91
212,Lagoa,PT,2022-10-21 19:18:44,39.05,-27.9833,65.61,77,100,28.27
213,Avarua,CK,2022-10-21 19:18:45,-21.2078,-159.775,78.85,83,75,17.27
214,La Asuncion,VE,2022-10-21 19:18:45,11.0333,-63.8628,89.33,62,2,12.66
215,Prince Rupert,CA,2022-10-21 19:16:40,54.3161,-130.3201,47.89,88,100,17.27
216,Saint-Joseph,RE,2022-10-21 19:18:46,-21.3667,55.6167,70.18,83,37,9.62
217,Quelimane,MZ,2022-10-21 19:18:46,-17.8786,36.8883,76.68,85,2,7.38
218,Jasper,US,2022-10-21 19:18:47,37.2001,-94.3502,84.45,20,0,24.16
219,Jucurutu,BR,2022-10-21 19:18:48,-6.0339,-37.0203,98.44,24,90,10.89
220,Altay,CN,2022-10-21 19:18:48,47.8667,88.1167,39.4,54,10,6.24
221,Santa Marta,CO,2022-10-21 19:17:55,11.2408,-74.199,89.65,66,40,5.75
222,Yar-Sale,RU,2022-10-21 19:18:49,66.8333,70.8333,30.85,98,100,6.17
223,Yerbogachen,RU,2022-10-21 19:18:49,61.2767,108.0108,28.15,93,95,3.94
224,Tagusao,PH,2022-10-21 19:18:50,9.1924,117.8141,78.82,84,94,3.22
225,Tondano,ID,2022-10-21 19:18:50,1.3038,124.9112,68.7,88,100,0.51
226,Seoni,IN,2022-10-21 19:18:51,22.0833,79.5333,62.6,72,0,5.08
227,Fortuna,US,2022-10-21 19:15:01,40.5982,-124.1573,63.93,81,0,11.5
228,Santarem,BR,2022-10-21 19:17:55,-2.4431,-54.7083,96.48,34,40,3.18
229,Porto Seguro,BR,2022-10-21 19:16:01,-16.4497,-39.0647,78.31,70,16,14.05
230,Mayo,US,2022-10-21 19:19:52,38.8876,-76.5119,68.2,33,0,5.75
231,Antofagasta,CL,2022-10-21 19:19:53,-23.65,-70.4,61.88,63,26,7.85
232,Coquimbo,CL,2022-10-21 19:19:53,-29.9533,-71.3436,58.73,77,75,11.5
233,Ola,RU,2022-10-21 19:19:54,59.5833,151.2833,16.93,68,49,10.89
234,Chicama,PE,2022-10-21 19:19:54,-7.8447,-79.1469,61.34,58,98,10.65
235,Cherskiy,RU,2022-10-21 19:19:55,68.75,161.3,8.67,96,100,8.55
236,Alofi,NU,2022-10-21 19:19:55,-19.0595,-169.9187,75.09,94,99,1.14
237,Itarema,BR,2022-10-21 19:19:55,-2.9248,-39.9167,82.38,63,81,20.15
238,Alice Town,BS,2022-10-21 19:19:56,25.7167,-79.3,77.07,75,53,14.72
239,Hofn,IS,2022-10-21 19:19:56,64.2539,-15.2082,40.26,68,36,7.49
240,Grindavik,IS,2022-10-21 19:19:57,63.8424,-22.4338,39.15,87,0,9.22
241,Andenes,NO,2022-10-21 19:19:57,69.3143,16.1194,42.93,87,75,13.8
242,Hargeysa,SO,2022-10-21 19:19:58,9.56,44.065,70.05,73,30,8.34
243,Makubetsu,JP,2022-10-21 19:19:58,45.3714,141.8211,55.69,85,61,12.48
244,Alice Springs,AU,2022-10-21 19:19:58,-23.7,133.8833,62.15,55,0,0.0
245,Atherton,GB,2022-10-21 19:19:59,53.5237,-2.4935,58.75,90,100,1.01
246,Anadyr,RU,2022-10-21 19:19:59,64.75,177.4833,30.7,93,100,13.42
247,Kudahuvadhoo,MV,2022-10-21 19:20:00,2.6708,72.8944,81.72,73,100,15.05
248,Yulara,AU,2022-10-21 19:20:00,-25.2406,130.9889,75.9,20,97,5.55
249,Nelson Bay,AU,2022-10-21 19:20:01,-32.7167,152.15,67.08,93,89,13.0
250,Sandnessjoen,NO,2022-10-21 19:20:01,66.0217,12.6316,35.71,100,20,2.3
251,Ygatimi,PY,2022-10-21 19:20:02,-24.0833,-55.5,81.14,51,44,5.32
252,Ankang,CN,2022-10-21 19:20:02,32.68,109.0172,60.35,77,22,0.63
253,Rafai,CF,2022-10-21 19:20:03,4.95,23.9167,70.09,98,92,1.28
254,Shenxian,CN,2022-10-21 19:20:03,36.2411,115.6672,59.07,48,0,5.88
255,Hervey Bay,AU,2022-10-21 19:20:04,-25.2986,152.8535,69.03,96,100,5.01
256,Ariquemes,BR,2022-10-21 19:20:05,-9.9133,-63.0408,88.54,55,99,2.3
257,Taonan,CN,2022-10-21 19:20:05,45.3333,122.7833,39.79,83,100,4.34
258,Preili,LV,2022-10-21 19:20:06,56.2944,26.7246,41.31,84,100,5.06
259,Mujiayingzi,CN,2022-10-21 19:20:06,42.1167,118.7833,41.09,58,0,4.21
260,Auki,SB,2022-10-21 19:20:07,-8.7676,160.7034,78.13,88,100,4.14
261,Kaeo,NZ,2022-10-21 19:20:07,-35.1,173.7833,58.32,95,99,10.71
262,Ust-Tsilma,RU,2022-10-21 19:20:08,65.441,52.1498,35.2,89,100,12.84
263,Aktau,KZ,2022-10-21 19:18:10,43.65,51.2,59.99,56,100,20.89
264,Esperance,AU,2022-10-21 19:20:09,-33.8667,121.9,56.95,75,100,6.85
265,Hambantota,LK,2022-10-21 19:20:09,6.1241,81.1185,78.26,79,100,5.73
266,Teya,RU,2022-10-21 19:20:10,60.3778,92.6267,35.71,94,100,7.05
267,Zhangye,CN,2022-10-21 19:20:10,38.9342,100.4517,45.55,37,37,2.42
268,Nanortalik,GL,2022-10-21 19:20:10,60.1432,-45.2371,40.35,89,100,17.81
269,Verkhnevilyuysk,RU,2022-10-21 19:20:11,63.4453,120.3167,18.54,98,90,4.5
270,Bure,ET,2022-10-21 19:20:11,10.7,37.0667,55.24,92,37,4.59
271,Calvinia,ZA,2022-10-21 19:20:12,-31.4707,19.776,71.82,24,4,5.53
272,Ormara,PK,2022-10-21 19:20:12,25.2088,64.6357,79.48,74,0,1.92
273,Sheltozero,RU,2022-10-21 19:20:13,61.3667,35.3667,34.74,66,9,0.18
274,Doha,QA,2022-10-21 19:17:43,25.2867,51.5333,87.69,68,0,8.05
275,Bengkulu,ID,2022-10-21 19:20:14,-3.8004,102.2655,75.51,93,98,4.03
276,Tsiroanomandidy,MG,2022-10-21 19:21:14,-18.7667,46.0333,68.0,79,83,7.47
277,Bougouni,ML,2022-10-21 19:21:15,11.417,-7.479,80.78,52,36,3.89
278,Glomfjord,NO,2022-10-21 19:21:15,66.8167,13.9667,36.75,84,78,5.84
279,Flinders,AU,2022-10-21 19:21:15,-34.5833,150.8552,66.18,91,78,4.0
280,Dzhebariki-Khaya,RU,2022-10-21 19:21:16,62.2167,135.8,-9.96,100,87,1.28
281,Talcahuano,CL,2022-10-21 19:21:16,-36.7167,-73.1167,60.48,59,0,18.41
282,Lebu,CL,2022-10-21 19:16:53,-37.6167,-73.65,53.28,60,0,17.81
283,Axim,GH,2022-10-21 19:21:17,4.8699,-2.2405,78.12,85,18,6.46
284,Olafsvik,IS,2022-10-21 19:21:18,64.8945,-23.7142,39.15,72,96,3.27
285,Timizart,DZ,2022-10-21 19:21:19,36.8,4.2667,75.2,40,10,4.34
286,Makakilo City,US,2022-10-21 19:21:19,21.3469,-158.0858,81.61,73,75,11.5
287,Wattegama,LK,2022-10-21 19:20:24,6.7989,81.4808,74.14,94,100,1.97
288,Gravdal,NO,2022-10-21 19:21:20,68.1214,13.5031,42.69,81,75,2.3
289,Otradnoye,RU,2022-10-21 19:21:20,59.7775,30.8181,42.85,92,100,2.91
290,Pimenta Bueno,BR,2022-10-21 19:21:21,-11.6725,-61.1936,78.98,88,100,1.16
291,Bilma,NE,2022-10-21 19:21:22,18.6853,12.9164,78.96,19,0,9.57
292,Leningradskiy,RU,2022-10-21 19:21:22,69.3833,178.4167,26.13,98,99,2.39
293,Vila Velha,BR,2022-10-21 19:21:22,-20.3297,-40.2925,78.94,79,81,13.0
294,Sergeyevka,KZ,2022-10-21 19:21:23,53.88,67.4158,42.91,95,100,4.61
295,Badnawar,IN,2022-10-21 19:21:23,23.0167,75.2167,69.28,70,5,8.7
