City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Cayenne,GF,2022-10-25 17:30:07,4.9333,-52.3333,89.64,58,75,10.36
116,Tura,IN,2022-10-25 17:33:56,25.5198,90.2201,63.48,95,17,3.38
117,Sola,VU,2022-10-25 17:33:57,-13.8833,167.55,78.53,77,2,2.93
118,Grand Gaube,MU,2022-10-25 17:33:58,-20.0064,57.6608,73.8,68,0,5.99
119,Takoradi,GH,2022-10-25 17:33:58,4.8845,-1.7554,79.02,85,75,8.63
120,Churapcha,RU,2022-10-25 17:33:59,62.0025,132.4325,19.47,95,99,8.66
121,Menongue,AO,2022-10-25 17:33:59,-14.6585,17.691,70.11,63,88,5.01
122,Abha,SA,2022-10-25 17:34:00,18.2164,42.5053,64.22,82,40,3.44
123,Kieta,PG,2022-10-25 17:34:01,-6.2167,155.6333,78.48,85,30,1.34
124,Aklavik,CA,2022-10-25 17:34:01,68.2191,-135.0107,10.4,92,100,3.44
125,Atlantic City,US,2022-10-25 17:32:45,39.3643,-74.4229,68.99,94,100,3.0
126,Camacha,PT,2022-10-25 17:34:02,33.0833,-16.3333,71.02,78,20,9.22
127,Benguela,AO,2022-10-25 17:34:03,-12.5763,13.4055,76.87,80,31,8.79
128,Karpathos,GR,2022-10-25 17:34:04,35.507,27.2132,67.96,77,0,9.22
129,Clyde River,CA,2022-10-25 17:34:04,70.4692,-68.5914,3.43,66,0,11.5
130,Terrace Bay,CA,2022-10-25 17:34:05,48.7834,-87.1,44.73,75,83,16.89
131,Fairbanks,US,2022-10-25 17:31:18,64.8378,-147.7164,20.23,89,0,6.91
132,Puerto Asis,CO,2022-10-25 17:34:05,0.5133,-76.5007,89.44,53,100,2.08
133,Ketchikan,US,2022-10-25 17:33:15,55.3422,-131.6461,43.27,87,100,0.0
134,Pierre,US,2022-10-25 17:34:06,44.3683,-100.351,54.52,47,0,18.41
135,Emerald,AU,2022-10-25 17:34:07,-23.5333,148.1667,67.33,60,66,10.29
136,Salalah,OM,2022-10-25 17:35:08,17.0151,54.0924,80.69,57,0,4.61
137,Katsuura,JP,2022-10-25 17:35:08,35.1333,140.3,55.69,74,100,26.4
138,Bengkulu,ID,2022-10-25 17:35:09,-3.8004,102.2655,74.17,95,100,6.6
139,Lakatoro,VU,2022-10-25 17:35:11,-16.0999,167.4164,76.57,85,2,4.18
140,Porto Novo,BJ,2022-10-25 17:35:11,6.4965,2.6036,78.62,80,99,6.49
141,Hilo,US,2022-10-25 17:35:12,19.7297,-155.09,77.11,86,75,8.05
142,Nadlac,RO,2022-10-25 17:35:13,46.1667,20.75,59.18,81,65,6.49
143,Wanning,CN,2022-10-25 17:35:14,18.8003,110.3967,75.81,91,99,10.47
144,Yaring,TH,2022-10-25 17:35:14,6.8662,101.3689,78.44,85,100,4.21
145,Diu,IN,2022-10-25 17:35:15,20.7141,70.9822,76.95,56,0,8.61
146,Le Port,RE,2022-10-25 17:35:15,-20.9373,55.2919,71.6,66,48,8.55
147,Alekseyevka,RU,2022-10-25 17:35:16,50.6309,38.6903,49.05,77,71,3.56
148,Faanui,PF,2022-10-25 17:35:17,-16.4833,-151.75,79.21,80,100,24.52
149,Fortuna,US,2022-10-25 17:35:18,40.5982,-124.1573,51.93,85,91,4.81
150,Chon Buri,TH,2022-10-25 17:35:18,13.3,101.3,83.91,99,97,4.12
151,Narsaq,GL,2022-10-25 17:35:19,60.9167,-46.05,30.42,70,7,3.44
152,Sakaiminato,JP,2022-10-25 17:35:20,35.55,133.2333,48.18,93,40,5.75
153,Chokurdakh,RU,2022-10-25 17:35:20,70.6333,147.9167,5.67,91,100,3.78
154,Qaanaaq,GL,2022-10-25 17:35:21,77.484,-69.3632,22.73,82,100,4.54
155,Gunjur,GM,2022-10-25 17:35:23,13.2019,-16.7339,91.47,62,0,0.0
156,Teknaf,BD,2022-10-25 17:35:23,20.8624,92.3058,74.61,89,90,5.79
157,Waddan,LY,2022-10-25 17:35:24,29.1614,16.139,74.7,31,0,9.82
158,Nikolskoye,RU,2022-10-25 17:35:25,59.7035,30.7861,37.29,77,97,7.65
159,Ende,ID,2022-10-25 17:35:25,-8.8432,121.6623,78.89,86,100,1.68
160,Agadez,NE,2022-10-25 17:35:27,19.75,10.25,74.48,11,1,9.08
161,Udachnyy,RU,2022-10-25 17:35:28,66.4167,112.4,8.47,95,32,6.87
162,Saskylakh,RU,2022-10-25 17:35:28,71.9167,114.0833,1.06,98,98,5.01
163,Tiksi,RU,2022-10-25 17:35:29,71.6872,128.8694,16.75,91,100,8.84
164,Kodiak,US,2022-10-25 17:35:31,57.79,-152.4072,42.31,70,100,8.05
165,Mossendjo,CG,2022-10-25 17:35:32,-2.9506,12.7261,71.47,96,98,1.88
166,Guarapari,BR,2022-10-25 17:35:33,-20.6667,-40.4975,76.89,83,38,5.53
167,Komsomolskiy,UZ,2022-10-25 17:35:34,40.4272,71.7189,54.32,87,100,4.61
168,Coquimbo,CL,2022-10-25 17:33:37,-29.9533,-71.3436,60.53,63,75,9.22
169,Muros,ES,2022-10-25 17:35:35,42.7762,-9.0603,66.09,80,38,18.52
170,Bowen,AU,2022-10-25 17:35:35,-20.0167,148.2333,76.44,95,5,3.04
171,Kefamenanu,ID,2022-10-25 17:35:36,-9.4467,124.4781,73.83,91,98,1.1
172,Half Moon Bay,US,2022-10-25 17:35:37,37.4636,-122.4286,67.82,79,75,10.36
173,Jamame,SO,2022-10-25 17:35:37,0.0722,42.7506,77.32,84,30,8.34
174,Fukue,JP,2022-10-25 17:35:38,32.6881,128.8419,62.74,62,8,17.76
175,Severodvinsk,RU,2022-10-25 17:33:47,64.5635,39.8302,32.11,90,10,7.23
176,Kattivakkam,IN,2022-10-25 17:35:39,13.2167,80.3167,80.69,65,0,7.94
177,Gazanjyk,TM,2022-10-25 17:35:40,39.2446,55.5154,59.36,57,47,5.68
178,Keetmanshoop,NA,2022-10-25 17:35:41,-26.5833,18.1333,82.09,14,95,15.17
